k,ρ^2,θ3,Error
625,23.04,0.7861,0.965881
626,23.04,0.786348,0.96587
627,23.04,0.786315,0.965872
628,23.04,0.786528,0.965862
629,23.04,0.786588,0.96586
630,23.04,0.786735,0.965854
631,23.04,0.787107,0.965837
632,23.04,0.787491,0.965821
633,23.04,0.78772,0.965811
634,23.04,0.788039,0.965797
635,23.04,0.788435,0.96578
636,23.04,0.788711,0.965768
637,23.04,0.789121,0.96575
638,23.04,0.789315,0.965742
639,23.04,0.789563,0.965731
640,23.04,0.789752,0.965723
641,23.04,0.789989,0.965712
642,23.04,0.790125,0.965706
643,23.04,0.790432,0.965693
644,23.04,0.790704,0.965681
645,23.04,0.790788,0.965678
646,23.04,0.791067,0.965665
647,23.04,0.791261,0.965657
648,23.04,0.791466,0.965648
649,23.04,0.791704,0.965638
650,23.04,0.792015,0.965624
651,23.04,0.792353,0.96561
652,23.04,0.792582,0.9656
653,23.04,0.792911,0.965585
654,23.04,0.793071,0.965579
655,23.04,0.793328,0.965567
656,23.04,0.793891,0.965543
657,23.04,0.793952,0.96554
658,23.04,0.794405,0.965521
659,23.04,0.794699,0.965508
660,23.04,0.795106,0.96549
661,23.04,0.795372,0.965479
662,23.04,0.79579,0.96546
663,23.04,0.795852,0.965458
664,23.04,0.796156,0.965445
665,23.04,0.79665,0.965423
666,23.04,0.796808,0.965416
667,23.04,0.797183,0.9654
668,23.04,0.797545,0.965384
669,23.04,0.797829,0.965372
670,23.04,0.798135,0.965359
671,23.04,0.798511,0.965342
672,23.04,0.7989,0.965325
673,23.04,0.799154,0.965314
674,23.04,0.79962,0.965294
675,23.04,0.799972,0.965279
676,23.04,0.800294,0.965265
677,23.04,0.800653,0.965249
678,23.04,0.801186,0.965226
679,23.04,0.801497,0.965213
680,23.04,0.802067,0.965188
681,23.04,0.802315,0.965177
682,23.04,0.802675,0.965162
683,23.04,0.803405,0.96513
684,23.04,0.80367,0.965118
685,23.04,0.804055,0.965102
686,23.04,0.804318,0.96509
687,23.04,0.804624,0.965077
688,23.04,0.80513,0.965055
689,23.04,0.805419,0.965043
690,23.04,0.805727,0.965029
691,23.04,0.806007,0.965017
692,23.04,0.806342,0.965003
693,23.04,0.806676,0.964988
694,23.04,0.806906,0.964978
695,23.04,0.807298,0.964961
696,23.04,0.80761,0.964947
697,23.04,0.808021,0.96493
698,23.04,0.808331,0.964916
699,23.04,0.808621,0.964904
700,23.04,0.809103,0.964883
701,23.04,0.809348,0.964872
702,23.04,0.809867,0.96485
703,23.04,0.810141,0.964838
704,23.04,0.810439,0.964825
